,altname,altt,alttitle,altwhy,aw,award,awards,awattr,awref,awtype,bnote,bt,budget,by,cat,cattext,cost,coverage,date,dir,diraw,diraward,dirid,dirk,dirn,dirname,dirnote,dirstart,dist,distr,distributor,error,facts,fid,filmed,films,fnote,inc,kname,lang,length,mnote,moneynote,moneynotes,name,nm,nnote,notes,paw,pawattr,period,pname,prc,prcnote,prctext,prod,prodk,prodnote,prods,profit,rating,refdest,refto,reftype,released,rereleased,seen,sername,serno,sersize,sert,siteat,siteclass,sitedes,sitename,siteplace,sitetype,studio,studioloc,studios,t,time,ttl,url,vt,year
821,,,,,,,,0,,H,,The Turning of the Screw,,,Fant,,,first,,,,,JCn,R,Clayton,Clayton,,@1955,,,,,,JCn20,,"
   ",,,,,33min,,,,Nelson Riddle,,,,AA,,1920,Peter Vincent Douglas,Tcol,,,,N,,,,PG,,,,,,9Mar1990,,,,,"town, MidWest",am.park,surreal circus,Long Island,USA,,Disney,,,Something Wicked This Way Comes,,,,,1983
822,,,,,,,,,,,,,,,Susp,,,Hitch TV,9Jun,,,,JuA,R,Addis,Addis,,@1955,,,CBS,,,JuA107,,"
   ",,,,,30m,,,,Frederic Brown,,,,,,,Hitchcock,TV,,,,R,,,,,,,,,,10Jan1992,,,,,East,town,,,USA,,Shamley,,,The Indestructible Mr.~Weems,,,,N-HP5,1957
823,,,,,,,,0,,H,,,,,Comd,,,first,,,,,MvS,R,Shavelson,Shavelson,,@1955,,,,,,MvS12,,"
   ",,,,,,,,,Leith Stevens,,,,AAN,,1943,Shavelson,Tcol,,,,R,,,,,,,,,,1Jul19l98,,,,,,city,water,Paris,France,,Paramount,,,A New Kind of Love,,,,,1963
824,,,,,,,,***,,H,,,,,Comd,,,first,,,,,NPa,R,Panama,Panama,,@1955,,,,,,NPa20,,"
   ",,,,,,,,,Frank,,,,,,1200,Panama,TV,,,,R,,,,,,,,,,,,,,,,palace,court,,,,Paramount,,,"Coffee, Tea, or Me?",,,,,1973
825,,,,,,,,,,,,,,,Dram,,,,,,,,NPS,R,dosSantos,dosSantos,,@1955,,,,,,NPS25,,"
   ",,,,\Pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csd,,Rio de Janeiro,Brazil,,,,,Como era Gostoso o Meu Frances,,,,,1971
826,,,,,,,,0,,H,,,,,Musc,,,first,,,,,PhD,R,Ph.Dunne,Ph.Dunne,,@1955,,,,,,PhD15,,"
   ",,,,,,,,,Ph.Dunne,,,,,,,Jerry Wald,DeLuxe,,,,N,,,,,,,,,,,,,,,,,,,,,Fox,,,Blindfold,,,,,1966
827,,,,,,,,,,,,,,,Dram,,,,,,,,PSv,R,P.Saville,P.Saville,,@1955,,,,,,PSv13,,"
   ",,,,,,,,,Julian Barnes,,,,,,,,col,,,,,,,,,,,,,,,,,,,London,town,suburb,Metroland,England,,,,,Metroland,,,,,1999
828,,Pret-a-porter,,\Fr,NSFC,,,GC***,[14],AA,,,,,Susp,,750K,first,12Jan,,,,RAl,R,Altman,Altman,,@1955,,,October,B,9 stories,RAl106,,"
   ",,,,,3h,,,,Toyomichi Kurita,,,,AA,,1932,Etchie Stroh,col,,,,X,,,,R,,,,,,18Aug99,,,,,Chicago,mansion,suburb,Holly Springs,GB,,Sandcastle,,,Gosford Park,,,,N-HD1-16,2002
829,,,,,,,,,,,,,,,ScFi,,,,,,,,RbG,R,Rbt.Gordon,Rbt.Gordon,,@1955,,,,,,RbG10,,"
   ",,,,,,,,,Harryhausen,,,,,,,Charles H. Schneer,bnw,,,,N,,,,,,,,,,,,,,,,city,,S.F.,CA,,Columbia,,,It Came from beneath the Sea,,,,,1955
830,,The Fall of the House of Usher,,\GB,,,,**,,H,,Morella; The Black Cat; Facts in the case of M.Valdemar,,,Horr,,1M,first,,,,,RCo,R,Corman,Corman,,@1955,,,,y(1987?,not Poe,RCo70,,"
   ",,,,,70 min,,,,Charles P. Griffith,,,,,,1930,Corman,col,,,,R,,,,R,,,,,,"10May1993, partial",,,,,Arkham,airplane,air war,London,NM,,U.A.,,,Watchers II,,,,,1987
831,,Golden Line,,,,,,,,,,,,,,,,,,,,,RGt,R,Ghatak,Ghatak,,@1955,,,,,,RGt15,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subarnarekha,,,,,1965
832,,,,,,,,0,,H,,,,,West,,,first,,,,,RMl,R,Milland,Milland,,@1955,,,,,,RMl1,,"
   ",,,,,,,,,,,,,,,,,Trucolor,,,,,,,,,,,,,,,,,,,West,desert,,,USA,,Republic,,,A Man Alone,,,,,1955
833,,,,,,,,,,,,,,,Susp,,,,19Apr,,,Emmydir,RStn,R,R.Stevens,R.Stevens,,@1955,,,CBS,,three parts,RSt446,,"
   ",,,Robert~Bloch,,1h,,,,W.W. Jacobs,,,,,,1857,Hitchcock,TV,,,,R,,,,,,,,,,4Feb1998,,,,,Paris,csd,carlot,S.F.,Bahamas,,Shamley,,,"The Monkey's Paw, A Retelling",,,,"N-HD1-11, HP3",1965
834,,The Domino Killings,,\GB,,,,0,[14],H,,,,,Susp,,,first,,,,,SK,R,St.Kramer,St.Kramer,,@1955,,,,,,SK30,,"
   ",,,Surtees,,,,,,Perry Botkin~jr.,,,,AAN,,1933,St.Kramer,CFcol,,,,R,,,,R,,,,,,26Jan1991,,,,,S.F.,estate,mansion,Nurnberg,CA,,Associated General,,,The Runner Stumbles,,,,,1979
835,,The Inferno of First Love,,USA,,,,,,,,,,,Docu,,,,,,,,SuH,R,Hani,Hani,,@1955,,,,,,SuH20,,"
   ",,,,,30 min,,,,Terayama,,,,,,,,bnw,,,,,,,,,,,,,,16Jan1999,,,,,Tokyo,town,,Shinjuku,Japan,,Iwapami,,,Hatsui Jigokuhen,,,,,1968
836,,,,,,,,*,,H,,,,,BioP,,,first,,,,,ToG,R,Gries,Gries,,@1955,,,,y(19yy?),,ToG22,,"
   ",,,,,,,,,Ring Lardner~jr,,,,,,1960-1975,Jerry Gershwin,DeLuxe,,,,N,,,,PG,,,,,,,,,,,,sports,boxing rings,,HA,,U.A.,,,The Greatest,,,,,1980
837,,,,,,,,*,,H,,,,,BiopP,,,,,,,,VDa,R,V.Davies,V.Davies,,@1955,,,,,,VDa10,,"
   ",,,,,,,,,V.Davies,,,,,,,Aaron Rosenberg,Tcol,,,,N,,,,,,,,,,,,,,,,city,,Chicago,IL,,U-I,,,The Benny Goodman Story,,,,,1955
838,,,,,,,,0,,H,,,,,Comd,,,,,,,,WiF,R,Fairchild,Fairchild,,@1955,,,,,,WiF10,,"
   ",,,,,,,,,,,,,,,,Herbert Mason,Ecol,,,,N,,,,,,,,,,,,,,,,city,,London,GB,,Group Three,,,John and Julie,,,,,1955
839,,,,,,,,,,,,,,,,,,first,,,,,AbB,R,A.Biberman,A.Biberman,,@1956,,,,,,AbB1,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Price of Fear,,,,,1956
840,,,,,,,,,,,,,,,Horr,,,first,,,,,ABd,R,Band,Band,,@1956,,,,,,ABd4,,"
   ",,43M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I Bury the Living,,,,,1957
841,,,,,,,,*,[5],H,,,,,Advt,,,first,,,,,AVL,R,McLaglen,McLaglen,,@1956,,,,Dir),,AVL35,,"
   ",,,,,,,,,,,,,,,1850,Euan Lloyd,Ecol,,,,N,,,,PG,,,,,,2Nov1990,,,,,central Africa,csd,oilfields,,USA,,Lorimar,,,The Sea Wolves,,,,,1980
842,,Vampira,,1974,,,,0,,H,,,,,Advt,,,first,,,,,CD,R,C.Donner,C.Donner,,@1956,,,,D(x.Donner,,CD33,,"
   ",,,Woody~Allen,,,,,,Jeremy Lloyd,,,,AAN,,,Jerry Sherlock,TV,,,,N,,,,PG,,,,,,1982,,48,,Charlie Chan,,palace,castle,Paris,France,,U.A.,,,A Christmas Carol,,,,,1982
843,,,,,,,,,,,,,,,Comd ,,,first,,,,,DMG,R,McGuire,McGuire,,@1956,,,,,,DMG2,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Delicate Delinquent,,,,,1957
844,,,,,,,,,,,,,,,Susp,,,only,16Dec,,,,FCk,R,F.Cockrell,F.Cockrell,,@1956,,,CBS,,,FCk2,,"
   ",,,,,30m,,,,M.Cockrell,,,,,,,Hitchcock,TV,,,,R,,,,,,,,,,"12Dec1990, 4Mar1993",,,,,,estate,mansion,,LA,,Shamley,,,The Rose Garden,,,,"N:, HR3",1956
845,,Patterns,,USA,,,,***,,H,,,,,BioP,,,first,,,,,FiC,R,F.Cook,F.Cook,,@1956,,,,y(1980?),,FiC20,,"
   ",,,,,,,,,Blanche Hanalis,,,,,,,Michael Myerberg,TV ,,,,X,,,,,,,,,,,,,,,,city,,Manhattan,NY,,U.A.,\GB,,A Love Affair: The Eleanor and Lou Gehrig Story,,,,,1980
846,,Female,,1957,,,,,,,,,,,Porn,,,,,,,,FrE,R,Eichorn,Eichorn,,@1956,,,,,,FrE10,,"
   ",,,,,,,,,E.D.Wood~jr,,,,,,,A.O. Bayer,bnw,,,,X,,,,,,,,,,,,,,,,,,,,,Headliner,,,The Violent Years,,,,,1956
847,,,,,,,,*,,H,,,,,Advt,,,,,,,,FrL,R,Lyon,Lyon,,@1956,,,,,,FrL10,,"
   ",,,,,,,,,,,,,,,,Lawrence Edward Watkin,CS,,,,N,,,,,,,,,,,,,,,South,,,,USA,,Disney,,,Great Locomotive Chase,,,,,1956
848,,,,,,,,*,,H,,,,,West,,,first,,,,,GeP,R,Pollock,Pollock,,@1956,,,,,,GeP45,,"
   ",,,,,,,,,Agatha Christie,,,,,,,Ray~Stark,Tcol,,,,R,,,,PG,,,,,,,,,,,,,,,GB,,Universal,,,The Electric Horseman,,,,,1999
849,,,,,,,,,,,,,,,,,,,,,,,GOw,R,G.Oswald,G.Oswald,,@1956,,,,,,GOw20,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent for H.A.R.M.,,,,,1966
850,,,,,,,,,,,,[36],,,Susp,,,Hitch TV,8Nov,,,,HeD,R,Daugherty,Daugherty,,@1956,,,CBS,,,HeD127,,"
   ",,,Robert~Bloch,,1h,,,,Robert Twohy,,,,,,1912,Hitchcock,TV,,,,R,,,,,,,,,,1990,,,,,West,town,big house,Salem,MA,,Shamley,,,Nothing Ever Happens in Linvale,,,,N-HP8,1963
851,,,,,,,,*,,H,,,,,Susp,,,first,,,,,HuC,R,Cornfield,Cornfield,,@1956,,,,,,HuC1,,"
   ",,,,,,,,,Robert Pippeney,,,,,,,Cornfield,Tcol,,,,R,,,,,,,,,,,,,,,,,,,,,Universal,,,title,,,,,1956
852,,,,,,,,,,,,,,,Susp,,,,10Feb,,,,IML,R,J.M.Lucas,J.M.Lucas,,@1956,,,CBS,,,IML102,,"
   ",,,,,30m,,,,,,,,,,,Hitchcock,TV,,,,R,,,,,,,,,,17Dec1990,,,,,Santa Barbara,city,,S.F.,CA,,Shamley,,,Malice Domestic,,,,"N-HR3, incomplete",1957
853,,,,,,,,Zinneman,[14],VIP,,,,,,,,first,,,,,JaK,R,Kadar,Kadar,,@1956,,,,,,JaK4,,"
   ",,,,,,,,,Elmer Klos,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,store,,,,,Barranov,,,The Shop on Main Street,,,,,1964
854,,,,,,,,,,,,,,,Dram,,,first,,,,,JAn,R,Anthony,Anthony,,@1956,,,,,,JAn6,,"
   ",,,,,,,,,W.Faulkner,,,,,,,Paul Roebling,Z*,,,,X,,,,,,,,,,,,,,,,town,,,USA,,bnw,,,Tomorrow,,,,,1972
855,,,,,,,,*,,H,,,,,Romt,,,,8Jun,,,,JNs,R,Neilson,Neilson,,@1956,,,CBS,sp Gilford),,JNs210,,"
   ",,,,,30m,,,,William Syder,,,,,,1912,Ron Miller,Tcol,,,,N,,,,,,,,,,1988,,,,,West Africa,city,,Boston,MA,,Disney,,,Summer Magic,,,,N-HQ7,1963
856,,,,,,,,,,,,,,,Dram,,,first,,,,,JqR,R,Rivette,Rivette,,@1956,,,,y(1978?),,JqR55,,"
   ",,,,\Fr,2 h,,,,Rivette,,,,,,,,,,,,,,,,,,,,,,,,,,,Montpellier,estate,mansion,Paris,France,,,,,Divertimento,,,,,1993
857,,,,,,,,,,,,,,,Susp,,,first,14Jun,,,,JuB,R,*,Bricken,,@1956,,,CBS,,,JuB104,,"
   ",,,,,30m,,,,Schoenfeld,,,,,,,Hitchcock,bnw,,,,R,,,,,,,,,,27Apr1992,,,,,Northeast,home,old house,,USA,,Shamley,,,Touch\'e,,,,N-HP2,1959
858,,Atlantic City USA,,France,,,,,,AAN,,,,,Dram,,,"first, etc.",,,,,LMa,R,Malle,Malle,,@1956,,,Orion,y(1987?),debut D,LMa40,,"
   ",,,,\Fr,,,,,Chekov,,,,AA,,1975-1981,Simon Relph,col,,re-released 1989,,X,,,,R,,,,,,,,,,,Atlantic City,city,village,NYC,NY,,NewLine,,,Vanya on 42nd Street,,,,,1994
859,,The Conjugal Bed,,USA,,,,,,,,,,,Porn,,,first,,,,,MFe,R,Ferreri,Ferreri,,@1956,,,,y(19yy),,MFe40,,"
   ",,,,,,,,,Charles Bukowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tales of Ordinary Madness,,,,,1981
860,,,,,,,,*,,H,,Witch's Milk,,,Romt,,,first,,,,,MR,R,Ritt,Ritt,,@1956,,,Warners,Aw(H),,MR34,,"
   ",,,Henry~Mancini,,,,,,Ravi Shankar,,,,AAN,,1950,Streisand,DuArt,,,,R,,,,R,,,,,,,,,,,L.A.,city,swamps,NYC,NY,,MGM,,,Iris and Stanley,,,,,1989
861,,,,,,,,,,,,,,,ScFi,,,,,,,,NAC,R,Cerf,Cerf,,@1956,,,,,,NAC10,,"
   ",,,,,,,,,Cerf,,,,,,,Cerf,bnw,,,,R,,,,,,,,,,,,,,,,,,,,,,,,Jungle Hell,,,,,1956
862,,,,,,,,,,,,,,,Musc,,,,,,,,RoL,R,Lewis,R.Lewis,,@1956,,,,y(19yy?),,RoL60,,"
   ",,,Cole~Porter,,,,,,Mark Liesson,,,,,,,Robert Emmett Dolan,Tcol,,,,N,,,,,,,,,,,,,,,NYC,theater,ocean liner,,NY,,Paramount,,,If Things Were Different,,,,,1980
863,,Ms.Don Juan,,USA,,,,not,,H,,,,,Romt,,,first,,,,,RoV,R,Vadim,Vadim,,@1956,,,,,,RoV15,,"
   ",,,,,,,,,Gene Roddenberry,,,,,,1913,Gene Roddenberry,col,,,,N,,,,PG,,,,,,,,,,,,space,,Paris,Universe,,MGM,\Fr,,Don Juan,,,,,1973
864,,,,,,,,*,[5],CG,,report,,,Actn,,,first,,,,,TPo,R,Post,Post,,@1956,,,,y(19yy),,TPo24,,"
   ",,,,,,,,,Robert Malcolm Young,,,,,,,Dennis F. Stevens,col,,,,N,,,,PG,,,,,,,,2,,Dirty Harry,,,,,Vietnam,,Cinema Arts,,,Diary of a Teenage Hitchhiker,,,,,1979
865,,Please Mr. Balzac,,,,,,,,,,,,,Porn,,,,,,,,Z51,R,UnYear51,UnYear51,,@1956,,,,,,Z5115,,"
   ",,,,\Fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,Paris,France,,,,,Mademoiselle Striptease,,,,,1957
866,,,,,,,,,,,,,,,West,,,,,,,,Z56,R,Unknown56,Unknown56,,@1956,,,,T),,Z5630,,"
   ",,,,,,,,,Tom Lea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,Germany,,The Wonderful Country,,,,,1956
867,,,,,,,,0,,H,,,,,Comd,,,first,27Jun,,,,ArH,R,Hiller,Hiller,,@1957,,,NBC,"y(19yy, D)",not a remake of ThA10,ArH240,,"
   ",,,Woolrich,,30m,,,,Eszterhaz,,,,AA,,1930,Esterhaz,col,,,,R,,,,PG,,,,,,23mar1990,,,,,New England,city,airplanes,NYC,NY,,Buena Vista,,,"Burn, Hollywood, Burn: An Alan Smithee Film",,,,N-HP10,1998
868,,,,,,,,,,,,,,,,,,first,,,,,ARy,R,Ryazanov,Ryazanov,,@1957,,,,,,ARy50,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Forgotten Tune for the Flute,,,,,1987
869,,,,,,,,,,,,,,,Comd,,,first,,,,,AuJ,R,Jewell,Jewell,,@1957,,,,D,,AuJ10,,"
   ",,,,,,,,,,,,,,,,Ben Schwalb,bnw,,,,N,,,,,,,,,,,,,,,,,,,,,Allied,,,Hold That Hypnotist,,,,,1957
870,,,,,,,,0,,H,,,,,Dram,,,first,,,,,BbB,R,Burt~Balaban,Burt~Balaban,,@1957,,,,,,BbB3,,"
   ",,,,,,,,,,,,,,,,Stuart Rosenberg,CS,,,,X,,,,,,,,,,,,,,,,city,,NYC,NY,,Fox,,,"Murder, Incorporated",,,,,1957
871,,Wildcat,,USA,,,,*,,H,,,,,Dram,,,,14Jun,,,,DTa,R,D.Taylor,D.Taylor,,@1957,,,CBS,y(19yy),,DTa222,,"
   ",,,,,30m,,,,Sophocles,,,,,,,Peter Vincent Douglas,TV,,,,N,,,,PG,,,,,,4Jun1991,,5,,surf,West,resort,island,Pearl Harbor,Greece,,BBC,,,Antigone,,,,N-HQ3,1985
872,,Dracula and Son,,USA,,,,0,,H,,,,,Comd,,,first,,,,,EMo,R,Molinaro,Molinaro,,@1957,,,,,,EMo40,,"
   ",,,,\Fr,,,,,Marcello Danon,,,,,,,Marcello Danon,Tcol,,,,N,,,,,,,,,,15Mar1994,,,,,Nice,bar,nightclub,,France,,U.A,,,Beaumarchais l'insolent,,,,,1996
873,,The Vampire's Coffin,,USA,,,,,,,,,,,Horr,,,,,,,,FMe,R,Mendez,Mendez,,@1957,,,,,,FMe12,,"
   ",,,,,,,,,,,,,,,,Abel Salazar,bnw,,,,N,,,,,,,,,,,,2,,Vampiro,,,,,,,K.Gordon Murray ,\Me,,El Ataud del Coffin,,,,,1958
874,,,,,,,,**,,H,,,,,Musc,,,,,,,,FrR,R,Rosi,Rosi,,@1957,,,,,,FrR25,,"
   ",,,,\It,,,,,Bizet,,,,,,1935,Patrice Ledoux,Ecol,,,,N,,,,,,,,,,22Mar1992,,,,,Andalusia,town,,,Spain,,Gaumont,,,Dimenticare Palermo,,,,,1990
875,,,,,,,,0,,H,,,,,Comd,,,first,,,,,GTh,R,G.Thomas,G.Thomas,,@1957,,,,,,GTh62,,"
   ",,,,,,,,,,,,,,,,Peter Rogers,bnwd,,,,N,,,,,,,,,,,,29,,Carry On,,mil.inst.,,,England,,Anglo Amalgamated,,,Carry On Emanuelle,,,,N-HP5,1977
876,,,,,,,,Margulies: bad movies we love,[27],VIP,,titles,,,Susp,,,first,,,,,IFr,R,Frankenheimer,Frankenheimer,,@1957,,,MGM,"y(19yy, D",,IFr52,,"
   ",,,Elmer~Bernstein,,,,,,H.G. Wells,,,,AAN,,1944,Frank Macusi~jr.,col,,,,N,,,,R,,,,,,18Dec1990,,,,,Cote d'Azur,resort,superbowl,Paris,France,,U.A.,,,Ronin,,,,,1998
877,,,,,,,,,,,,,,,ScFi,,,,,,,,InH,R,Honda,Honda,,@1957,,,,,,InH25,,"
   ",,,,,,,,,,,,,,,,Tanaka,col,,,,R,,,,,,,,,,,,2,,Godzilla,,work,mine,,Japan,,Toho,,,Godzilla's Revenge,,,,,1969
878,,,,,,,,0,,H,,,,,Advt,,,first,,,,,JBC,R,J.B.Clark,J.B.Clark,,@1957,,,,D,,JBC55,,"
   ",,,,,,,,,,,,,,,,J.B.Clark,col,,,,R,,,,,,,,,,1996,,,,,,city,circus,Dallas,Texas,,API,,,Flipper,,,,,1996
879,,,,,,,,0,,H,,,,,Comd,,,first,,,,,MiW,R,Winner,Winner,,@1957,,,,y(19yy?),,MiW43,,"
   ",,,,,,,,,Jack Cardiff,,,,,,,Elliot Kastner,col,,,,N,,,,R,,,,,,,,,,,West,csd,,NYC,GB,,Cannon,,,Wicked Lady,,,,,1983
880,,Mad Little Island,,USA,,,,0,,H,,,,,Comd,,,first,,,,,MRe,R,Relph,Relph,,@1957,,,,,,MRe7,,"
   ",,,,,,,,,,,,,,,,Dearden,Tcol,,,,R,,,,,,,,,,,,,,,,,,,,,Rank,,,Rockets Galore,,,,,1957
881,,,,,,,,,,,,,,,Dram,,,,,,,,MWe,N,Peter Palitzsch,Wekwerth,,@1957,,,,,,MWe15,,"
   ",,,B~Brecht,,,,,,Maxim Gorky,,,,,,1944,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,Berliner Ensemble,,,Mutter Courage und Ihre Kinder,,,,,1961
882,,,,,,,,,,,,,,,,,,,,,,,NAA,R,Acub,Acub,,@1957,,,,,,NAA10,,"
   ",,,,Bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three Fugitives,,,,,1957
883,,Mark of the Vampire,,USA,,,,,,,,,,,Horr,,,,,,,,PLd,R,Landres,Landres,,@1957,,,,,,PLd10,,"
   ",,,,,,,,,,,,,,,,Jules Levy,bnw,,,,X,,,,,,,,,,,,,,,,,,,,,U.A.,,,The Vampire,,,,,1957
884,,,,,,,,,,,,,,,Dram,,,,,,,,RuB,R,Birdwell,Birdwell,,@1957,,,,,,RuB10,,"
   ",,,,,,,,,,,,,,,,Zugsmith,bnw,,,,R,,,,,,,,,,,,,,,,,,,Greece,,Universal,,,The Girl in the Kremlin,,,,,1957
885,,,,,,,,0,,H,,,,,Comd,,,first,,,,,RDa,R,R.Day,R.Day,,@1957,,,MGM,site=Africa?,,RDa25,,"
   ",,,,,,,,,Don Ingalls,,,,,,,Melvin Simon,CFcol,,,,N,,,,TV,,,,,,,,79,,Tarzan,kingdom Kor,palace,,,Africa,,Fox,Switzerland,,The Man With Bogart's Face,,,,,1980
886,,,,,,,,0,,H,,,,,Romt,,,first,,,,,RMu,R,Mulligan,Mulligan,,@1957,,,,,,RMu50,,"
   ",,,Elmer~Bernstein,,,,,,Horton Foote,,,,,,1950,Mulligan,col,,,,R,,,,PG13,,,,,,,,,,,NYC,town,tough school,Hollywood,LA,,MGM-U.A.,,,The Man in the Moon,,,,,1991
887,,,,,,,,*,,H,,,,,Horr,,,first,,,,,SJF,R,Furie,Furie,,@1957,,,,BioP?),,SJF23,,"
   ",,,Ken~Adam,,,,,,Rick Natkin,,,,AAN,,,James S. White,col,,,,X,,,,R,,,,,,,,,,,,,,,GB,,Paramount,,,Purple Hearts,,,,,1984
888,,Deathtrap,,USA,,,,0,[14],H,,Tosca,,,Dram,,,first,,,,,SL,R,Lumet,Lumet,,@1957,,,Paramount,D,,SL62,,"
   ",,,L.Cohen,,,,,,Robert Avrech,,,,AAN,,1972,Ransohoff,col,,shot in several languages,,R,,,,R,,,,,,11Apr1989,,,,,"East Hampton, LI",hospital,mansion,NYC,NY,,Paramount,,,Gloria,,,,part,1999
889,,Twilight Zone - The Movie,,USA,,,,35,[8],AAdir,,Peter Pan,,,Dram,,75M,first,,,,,SS,R,Spielberg ,Spielberg,one for each of 4 segments,@1957,,,Paramount,"Jaglom: P, CoD?)",Topic(cloning),SS34,,"
   ",,194M,Pat Hanrahan,,22 min,,,,John Williams,,*2,,AAN,,1944,Ian Bryce,col,,,,X,,,,R,,,,,1980,14Nov1999,,2,,Jurassic,South,mil.inst.,,Omaha Beach,France,,DreamWorks,Culver City,,Saving Private Ryan,,,,,1998
890,,,,,,,,,,,,,,,Susp,,,,16Jun,,,,SSi,R,Siliphant,Siliphant,,@1957,,,NBC,,,SSi115,,"
   ",,,,,30m,,,,,,,,,,,Hitchcock,TV,,,,R,,,,,,,,,,,,,,,,,,,,,Shamley,,,The Woman Who Turned to Salt,,,,,1958
891,,,,,,,,,,,,,,,Musc,,,,,,,,WPr,R,W.Price,W.Price,,@1957,,,,,,WPr10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rock, Rock, Rock",,,,,1957
892,,,,,,,,,,AAN,,,,,Dram,,,,,,,,xMb,R,Mehboob,Mehboob,,@1957,,,,,,xMb10,,"
   ",,,,,,,,,Narshad,,,,,,,,Tcol,,,,,,,,,,,,,,,,,,,,,,,India,,Mehboob productions,,,Mother India,,,,,1957
893,,Seisaku's Wife,,,,,,,,,,,,,,,,,,,,,YMa,R,Masumura,Masumura,,@1957,,,,,,YMa15,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seisaku no Tsuma,,,,,1965
894,,Where Eagles Dare,,?,,,,,,,,,,,,,,,,,,,Z57,R,Unknown57,UnYear57,,@1957,,,,y(19yy) ,,Z5735,,"
   ",,,,,,,,,,,,,,,1943,,,,,,,,,,,,,,,,,,,,,,airplane,airplanes,,Germany,,,,,Stage Struck,,,,,1957
895,,,,,,,,,,,,,,,ScFi,,,,,,,,ACt,R,Crabtree,Crabtree,,@1958,,,,,,ACt10,,"
   ",,,,,,,,,,,,,,,,John Croydon,bnw,,,,N,,,,,,,,,,,,,,,,mil.inst.,,,Canada,,MGM,,,Fiend Without a Face,,,,,1958
896,,,,,,,,,,,,,,,BioP,,,,,,,,AlR,R,A.Reisner,A.Reisner,,@1958,,,,sp P,All black cast,AlR1,,"
   ",,,,,,,,,Nelson Riddle,,,,,,1900,Robin Smith,bnw,,,,N,,,,,,,,,,23Feb1995,,,,,,city,,St.Louis,MO,,Paramount,,,Saint Louis Blues,,,,,1958
897,,,,,,,,*,,H,,,,,BioP,,,,,,,,AN,R,Napoleon,Napoleon,,@1958,,,,,,AN10,,"
   ",,,,,,,,,Diane Barrymore,,,,,,,Blanke,bnw,,,,R,,,,,,,,,,,,,,,Hollywood,movies,,,CA,,Warners,,,Too Much Too Soon,,,,,1958
898,,,,,,,,not,,H,,,,,Epic,,,,,,,,AnQ,R,Quinn,Quinn,,@1958,,,,,,AnQ10,,"
   ",,,,,,,,,,,,,,,1812,deMille,col,,,,N,,,,,,,,,,,,,,,,,,,,,,,,The Buccaneer,,,,,1958
899,,,,,,,,*,,H,,,,,BioP,,,first,,,,,ArP,R,A.Penn,A.Penn,,@1958,,,,,,ArP20,,"
   ",,,,,,,,,William Gibson,,,,AAN,,,Fred Coe,bnw,,,,N,,,,R,,,,,,15Dec1999,,,,,MidWest,csd,ranches,,MT,,U.A.,,,Four Friends,,,,,1981
900,,,,,,,,,,,,,,,Actn,,,,,,,,AtR,R,Ripley,Ripley,,@1958,,,,,,AtR10,,"
   ",,,,,,,,,Mitchum,,,,,,,Mitchum,bnw,,,,R,,,,,,,,,,,,,,,,csd,,,TN,,U.A.,,,Thunder Road,,,,,1958
901,,,,,,,,,,,,,,,Dram,,,first,6Mar,,,,BoS,N,Boris Sagal,Sagal,,@1958,,,NBC,,,BoS80,,"
   ",,,,,12h,,,,Irwin Shaw,,,,,,,Walter Seltzer,TV,,mini-series,,N,,,,,,,,,,,,7,,Solo,,city,circus,L.A.,CA,,ABC,,,"Rich Man, Poor Man",,,,,1976
902,,The Butcher,,USA,,,,**,,H,,,,,Dram,,,first,,,,,ClC,R,Chabrol ,Chabrol,,@1958,,,,title not orig,,ClC60,,"
   ",,,,\Fr,,,,,Ruth Rendell,,,,,,,Andre Genoves,col,,,,R,,,,,,,,,,,,,,,Paris,town,university,Paris,France,,La Boetie,,,Merci pour le Chocolat,,,,,2000
